class,word,score
1,brings,-2.682181865087728
1,complements,-2.358831041425272
1,unhappy,2.0416315224652593
1,excelente,-2.028547757202321
1,garbage,1.9392155149726993
2,memory,-2.439198034609859
2,charming,-2.1851681117775565
2,steal,-2.177089244773154
2,served,-2.125523340668387
2,kick,-2.0341514395519726
3,whiskey,-2.264109816093049
3,church,-1.8199677016428135
3,turkey,-1.8104056598767386
3,disappoint,-1.7360909779560865
3,unexpected,-1.7287775298115478
4,downside,1.7498776097361535
4,appreciation,-1.720024433514093
4,infected,-1.6377542519110093
4,garage,-1.5085932542071097
4,served,1.4622976900726437
5,disappointing,-2.746001908962985
5,excelente,2.6561311584487797
5,happier,2.609821039671925
5,unhappy,-2.445116002556744
5,skeptical,2.335833441667656
